Id,Course,Attn_Date,Attn_Hours
631780,AdClassSched_49279,1/25/2020,60
631780,AdClassSched_49279,1/20/2020,60
631780,AdClassSched_49279,2/23/2020,60
631780,AdClassSched_49279,2/3/2020,60
625867,AdClassSched_49338,2/14/2020,60
625867,AdClassSched_49338,2/7/2020,60
618129,AdClassSched_56776,1/29/2020,60
645386,AdClassSched_48860,2/7/2020,60
618129,AdClassSched_56776,1/18/2020,60
618129,AdClassSched_56776,2/19/2020,60
645386,AdClassSched_48860,1/24/2020,60
618129,AdClassSched_56776,2/24/2020,60
645386,AdClassSched_48860,2/10/2020,60
645386,AdClassSched_48860,1/16/2020,60
645386,AdClassSched_48860,2/20/2020,60
632293,AdClassSched_49280,2/10/2020,60
632293,AdClassSched_49280,1/20/2020,60
632293,AdClassSched_49280,2/24/2020,60
632293,AdClassSched_49280,1/27/2020,60
632293,AdClassSched_49280,1/13/2020,60
632293,AdClassSched_49280,2/17/2020,60
632293,AdClassSched_49280,2/3/2020,60
515052,AdClassSched_49338,2/16/2020,60
515052,AdClassSched_49338,2/9/2020,60
515052,AdClassSched_49338,1/27/2020,60
515052,AdClassSched_49338,2/2/2020,60
643107,AdClassSched_48860,2/3/2020,60
643107,AdClassSched_48860,2/12/2020,60
643107,AdClassSched_48860,2/24/2020,60
643107,AdClassSched_48860,1/16/2020,60
643107,AdClassSched_48860,1/27/2020,60
623703,AdClassSched_56854,2/25/2020,60
623703,AdClassSched_56854,1/28/2020,60
623703,AdClassSched_56854,2/4/2020,60
623703,AdClassSched_56854,2/15/2020,60
623703,AdClassSched_56854,1/22/2020,60
622305,AdClassSched_49338,2/12/2020,60
622305,AdClassSched_49338,2/4/2020,60
622305,AdClassSched_49338,2/19/2020,60
622305,AdClassSched_49338,1/22/2020,60
622305,AdClassSched_49338,1/14/2020,60
622305,AdClassSched_49338,1/29/2020,60
507170,AdClassSched_49280,2/12/2020,60
507170,AdClassSched_49280,1/24/2020,60
507170,AdClassSched_49280,1/30/2020,60
507170,AdClassSched_49280,1/19/2020,60
507170,AdClassSched_49280,2/18/2020,60
507170,AdClassSched_49280,2/5/2020,60
644897,AdClassSched_48860,2/3/2020,60
644897,AdClassSched_48860,1/20/2020,60
644897,AdClassSched_48860,2/10/2020,60
644897,AdClassSched_48860,2/24/2020,60
644897,AdClassSched_48860,2/2/2020,60
644897,AdClassSched_48860,2/20/2020,60
638747,AdClassSched_49280,2/12/2020,60
638747,AdClassSched_49280,1/27/2020,60
638747,AdClassSched_49280,2/17/2020,60
617927,AdClassSched_49339,2/12/2020,60
617927,AdClassSched_49339,2/24/2020,60
617927,AdClassSched_49339,2/17/2020,60
617927,AdClassSched_49339,2/1/2020,60
637791,AdClassSched_48860,2/4/2020,60
637791,AdClassSched_48860,1/21/2020,60
637791,AdClassSched_48860,2/14/2020,60
637791,AdClassSched_48860,1/14/2020,60
637791,AdClassSched_48860,2/2/2020,60
637791,AdClassSched_48860,2/17/2020,60
626368,AdClassSched_49281,2/11/2020,60
626368,AdClassSched_49281,1/24/2020,60
626368,AdClassSched_49281,1/28/2020,60
626368,AdClassSched_49281,2/3/2020,60
620423,AdClassSched_49340,2/17/2020,60
620423,AdClassSched_49340,2/25/2020,60
620423,AdClassSched_49340,2/10/2020,60
620423,AdClassSched_49340,1/31/2020,60
